Product_name,Price
Itel tv 32”,"₵1,450.00"
Itel p17 pro (32gb+2gb) 4G + free lunch box,"₵1,135.00"
Samsung Galaxy A03s (32gb+3gb),"₵1,900.00"
Itel A58 Pro (32gb+2gb) + free lunch box,"₵1,165.00"
Samsung Galaxy A13 (64/4),"₵2,735.00"
Hp i3 (4/1tb) 250 G7 15.6 With Bag,"₵5,000.00"
Samsung Galaxy A03 (32gb+3gb),"₵1,845.00"
Itel S17 (16gb+1gb) + free lunch box,"₵1,185.00"
Samsung tab s8 ultra (x906) (256gb+12gb) 5g,"₵19,400.00"
Acer i5 spin 3 (8/256ssd) g1 10th with bag,"₵7,600.00"
Hikvision turbo hd digital recorder kit 8ch,"₵5,000.00"
Hikvision fingerprint ds-k1t804bmf,"₵1,500.00"
Hikvision digital recorder ds-7608ni-q2/8p 8ch (nvr),"₵2,800.00"
Hikvision digital recorder (nvr) camera ds-7604ni/4p 4ch,"₵1,400.00"
Itel charger (icw-101u),₵35.00
Itel 2163,₵115.00
Samsung tab s8 ultra (x906) (256gb+12gb) 5g,"₵19,400.00"
Samsung A047 (A04S) (64gb+4gb),"₵2,350.00"
Samsung A047 (A04S) (32gb+3gb),"₵2,200.00"
Samsung A047 (A04S) (128gb+4gb),"₵2,645.00"
Samsung Galaxy Tab A7 Lite (64gb+4gb),"₵3,339.00"
Samsung Galaxy Z fold 4 (12gb+256gb),"₵29,999.00"
Samsung Galaxy Z Fold 4  (12gb+512gb),"₵31,999.00"
Samsung Galaxy Z Flip 4 (256+8),"₵17,799.00"
Tecno camon 19 pro (256+8) Mondrian edition,"₵4,585.00"
Tecno Pop 6 Pro (BE8) (32gb+2gb),"₵1,530.00"
Tecno spark 9 (KG5P) (64+4),"₵2,015.00"
Tecno Pop 6 GO (16+1),"₵1,308.00"
Tecno Camon 19 Pro 5G (256+8),"₵5,475.00"
Tecno Spark 9 Pro (128gb + 4gb),"₵2,686.00"
Tecno Camon 19 (128+6),"₵3,415.00"
Tecno Camon 19 Pro (256+8),"₵4,535.00"
Nokia 105 Dual,₵185.00
Nokia C21 (32/2),"₵1,450.00"
Nokia G10 (32gb+3gb),"₵1,750.00"
Nokia C1 2E (16GB+1GB),"₵1,125.00"
Nokia T20 (64gb+4gb),"₵2,800.00"
Nokia 210,₵455.00
Nokia G10 (64GB+4GB),"₵2,085.00"
Nokia X10 (128GB+6GB) 5G,"₵3,600.00"
