,Title,Location,Prices,Area_sqrm,Number_of_Rooms
0,                        Apartment Keizersgracht                            ,            1016 EG Amsterdam GrachtengordelWest        ,6000,270,4
1,                        Apartment Reguliersgracht 78 B                            ,            1017 LV Amsterdam GrachtengordelZuid        ,5500,141,4
2,                        Apartment Christiaan de Wetstraat                            ,            1091 NG Amsterdam Transvaalbuurt        ,1950,50,3
3,                        Apartment Pieter Cornelisz. Hooftstraat 59 3                            ,            1071 BN Amsterdam Museumkwartier        ,2850,131,4
4,                        Apartment Van Nijenrodeweg                            ,            1082 JE Amsterdam BuitenveldertWest        ,1950,40,2
5,                        House Keizersgracht                            ,            1017 DT Amsterdam GrachtengordelZuid        ,5250,252,5
6,                        Apartment Bilderdijkstraat                            ,            1053 KX Amsterdam Da Costabuurt        ,3600,95,5
7,                        Apartment Schippersstraat                            ,            1011 AZ Amsterdam NieuwmarktLastage        ,1900,48,3
8,                        Apartment Keizersgracht                            ,            1017 EB Amsterdam GrachtengordelZuid        ,2450,47,2
9,                        Apartment Narva-eiland                            ,            1014 ZJ Amsterdam Houthavens        ,2250,69,2
10,                        Apartment Keizersgracht                            ,            1017 EW Amsterdam GrachtengordelZuid        ,3200,108,4
11,                        Apartment De Lairessestraat                            ,            1071 PK Amsterdam Museumkwartier        ,1925,70,2
12,                        Apartment Maria Austriastraat                            ,            1087 JC Amsterdam IJburg West        ,1950,39,1
13,                        Apartment Van Tuyll van Serooskerkenweg                            ,            1076 JG Amsterdam Stadionbuurt        ,3375,115,5
14,                        House Emmy Andriessestraat                            ,            1087 LS Amsterdam IJburg Zuid        ,2795,150,4
15,                        Apartment Holendrechtstraat                            ,            1078 TV Amsterdam IJselbuurt        ,1800,65,3
16,                        Apartment Tweede Oosterparkstraat                            ,            1091 HT Amsterdam Oosterparkbuurt        ,1195,35,1
17,                        Apartment Frieslandstraat                            ,            1082 TL Amsterdam BuitenveldertWest        ,1850,75,3
18,                        Apartment Weesperzijde                            ,            1091 ED Amsterdam Weesperzijde        ,3000,130,4
19,                        Apartment Binnenkant                            ,            1011 BK Amsterdam NieuwmarktLastage        ,2150,64,2
20,                        Apartment Prinsengracht 801 II                            ,            1017 KA Amsterdam GrachtengordelZuid        ,1850,48,2
21,                        Apartment Lauriergracht                            ,            1016 RP Amsterdam Jordaan        ,2400,83,3
22,                        Apartment Eerste Boerhaavestraat 6 D                            ,            1091 SB Amsterdam Weesperzijde        ,2100,85,3
23,                        Apartment Shackletonstraat 14 HS                            ,            1056 RM Amsterdam Van Galenbuurt        ,2000,65,3
24,                        Apartment Admiraal De Ruijterweg 350 A4                            ,            1055 NA Amsterdam Landlust        ,1950,65,3
25,                        Apartment Admiraal De Ruijterweg 350 A3                            ,            1055 NA Amsterdam Landlust        ,2150,75,3
26,                        Apartment Prinseneiland                            ,            1013 LL Amsterdam Haarlemmerbuurt        ,2500,69,3
27,                        Apartment Graaf Florisstraat                            ,            1091 TG Amsterdam Weesperzijde        ,3250,105,3
28,                        Apartment Linnaeushof                            ,            1098 KL Amsterdam Middenmeer        ,2350,109,5
29,                        Apartment Westermarkt 15 B                            ,            1016 DH Amsterdam GrachtengordelWest        ,1900,62,2
30,                        Apartment Nieuwmarkt                            ,            1011 JP Amsterdam NieuwmarktLastage        ,1850,50,2
31,                        Apartment Reigersbos                            ,            1107 EX Amsterdam HolendrechtReigersbos        ,2400,95,4
