Name,Price
"Samsung Galaxy A13, 4GB/64GB Memory, Android 12 - Black","₦ 118,000"
"Tecno Camon 18i, 4GB/128GB Memory - Grey","₦ 86,000"
"XIAOMI A1 Plus, 2GB/32GB Memory - Black","₦ 53,890"
"Samsung Galaxy A13, 4GB/128GB Memory - Black","₦ 148,700"
"Samsung Galaxy A13, 4GB/128GB Memory - Black","₦ 138,000"
IPhone 6 16GB(Refurbished ) - Gold - 4.7 Inch Grade A,"₦ 43,000"
IPhone X 3GB RAM+64GB(Renewed)  -Black,"₦ 164,980"
"Samsung Galaxy A03, 3GB/32GB Memory, Android 11 - Black","₦ 70,000"
"Tecno Pop 6 Go, 6.5"" Screen, 1/16GB, 4000MAh  - Grey","₦ 46,620"
"Tecno Camon 18i, 4GB/128GB Memory - Blue","₦ 86,000"
Blackview FS-Android Smartphone Oscal C20 Dual-SIM 3G 1+32GB 6.088 Inch Screen -Black,"₦ 46,280"
"Tecno Pop5 Go(BD1), Android 11 16GB/1GB - Aether Black","₦ 43,340"
"Samsung Galaxy A03, 4GB/64GB Memory - Black","₦ 100,000"
"UMIDIGI A13S (4GB,64GB ROM) 6.7"" HD+ 5150mAh Global Version (16MP+8MP+5MP)+8MP-Galaxy Blue","₦ 69,900"
"Tecno Pova Neo, 6.8"",4GB/64GB,6000MAh - Obsidian Black","₦ 86,160"
"Samsung Galaxy A04s, 4GB/64GB Memory - Copper","₦ 95,000"
"QUBO SP510 -8GB ,5 Inch ,5MP Camera, 3G Android  Smartphone","₦ 27,000"
"QUBO Big1 Plus - 2GB/32GB,4500mAh, 6.26"",8MP Camera,Smartphone","₦ 41,990"
Huawei Psmart+2019 6.2 FHD 6GB + 128GB 24MP+16MP +2MP Smartphones -Black,"₦ 74,680"
"Samsung Galaxy A03 Core, 2GB/32GB Memory - Black","₦ 61,000"
"XIAOMI Redmi 9A, 2/32GB Memory, Android 10 - Granite Grey","₦ 55,900"
"XIAOMI Redmi 10A, 4GB/128GB Memory - Graphite Gray","₦ 89,260"
"Samsung Galaxy A03s, 3GB/32GB Memory - Black","₦ 75,000"
"UMIDIGI G1 (2GB,32GB ROM) 6.52"" HD+ 5150mAh Android Smartphone Unlocked (13MP+2MP)+13MP-Starry Black","₦ 49,500"
"XIAOMI Redmi 10A, 3GB/64GB Memory - Graphite Gray","₦ 77,440"
"Samsung Galaxy A13, 6.6"", 4GB/64GB, 5000MAh, Android 12 -Black","₦ 134,400"
"UMIDIGI F3S (6GB,128GB ROM) 6.7"" HD+ NFC 5150mAh Global Version (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 89,500"
"Samsung Galaxy A03, 4GB/64GB Memory, Android 11 - Blue","₦ 85,000"
"Samsung Galaxy A03, 4GB/64GB Memory, Android 11 - Black","₦ 85,000"
"itel A58 Pro,6.6"", 2GB/32GB,4000mAh Battery - Starry Black","₦ 45,300"
"XIAOMI Redmi 9A, 2/32GB Memory, Android 10 - Glacial Blue","₦ 55,900"
IPhone X 3GB RAM+64GB (Renewed) -White,"₦ 165,000"
"Samsung Galaxy A13, 4GB/64GB Memory - Peach","₦ 108,000"
"UMIDIGI A11 (3GB,64GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Frost Grey","₦ 67,600"
"itel A33 Plus 5.0"" Screen, 32GB ROM + 1GB RAM, 3020mAh","₦ 40,990"
"Infinix Hot 12 Play, 4GB/128GB Memory - Champagné Gold","₦ 100,300"
Iphone 6 16GB(Refurbished ) - Silver - 4.7 Inch Grade A,"₦ 43,000"
"QUBO Big1 Plus - 4500mAh,2GB/32GB ,6.26"", 5MP/8MP,Smartphones","₦ 40,900"
"UMIDIGI A13 Pro (4GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 86,897"
"Cubot Note 8, 5.5"", 2GB+16GB, Android 11,3100mAh,4G Dual SIM-Green","₦ 41,485"
